epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
15,0.9392430186271667,2.499999936844688e-06,0.36755573749542236,0.8861788511276245,0.4265691936016083
17,0.9362549781799316,4.999999873689376e-06,0.373460054397583,0.9105691313743591,0.4245663583278656
18,0.9462151527404785,2.499999936844688e-06,0.3607213795185089,0.869918704032898,0.4774034321308136
19,0.9322709441184998,2.499999936844688e-06,0.3705090880393982,0.9268292784690857,0.421916127204895
16,0.93824702501297,2.499999936844688e-06,0.36348825693130493,0.8943089246749878,0.3967161774635315
20,0.9531872272491455,2.499999936844688e-06,0.3438376784324646,0.869918704032898,0.5071298480033875
21,0.9432271122932434,2.499999936844688e-06,0.36368048191070557,0.9105691313743591,0.44261303544044495
17,0.9422310590744019,2.499999936844688e-06,0.36869016289711,0.9024389982223511,0.40636417269706726
22,0.9342629313468933,2.499999936844688e-06,0.36631420254707336,0.8780487775802612,0.524577796459198
23,0.9482071995735168,1.249999968422344e-06,0.35557088255882263,0.8943089246749878,0.42131420969963074
24,0.9482071995735168,1.249999968422344e-06,0.3690451681613922,0.8943089246749878,0.43563488125801086
18,0.9392430186271667,1.249999968422344e-06,0.37379327416419983,0.8780487775802612,0.43645772337913513
19,0.9362549781799316,1.249999968422344e-06,0.36592569947242737,0.9105691313743591,0.39634615182876587
20,0.9372509717941284,1.249999968422344e-06,0.36572524905204773,0.8617886304855347,0.5028513073921204
21,0.9362549781799316,1.249999968422344e-06,0.3787001371383667,0.8943089246749878,0.47105658054351807
22,0.9362549781799316,1.249999968422344e-06,0.367340087890625,0.8861788511276245,0.47416701912879944
23,0.9322709441184998,6.24999984211172e-07,0.37428006529808044,0.8943089246749878,0.4205799400806427
24,0.9372509717941284,6.24999984211172e-07,0.37022584676742554,0.8861788511276245,0.42904964089393616
25,0.9342629313468933,6.24999984211172e-07,0.37217435240745544,0.869918704032898,0.4896433651447296
26,0.9402390718460083,6.24999984211172e-07,0.3570038080215454,0.9105691313743591,0.44558486342430115
27,0.9362549781799316,6.24999984211172e-07,0.359103262424469,0.8861788511276245,0.47073104977607727
28,0.9432271122932434,3.12499992105586e-07,0.37534472346305847,0.8780487775802612,0.4298677146434784
29,0.9402390718460083,3.12499992105586e-07,0.3763176500797272,0.9105691313743591,0.4026085436344147
30,0.9322709441184998,3.12499992105586e-07,0.3708961009979248,0.9024389982223511,0.40339037775993347
31,0.9322709441184998,3.12499992105586e-07,0.37840279936790466,0.9024389982223511,0.4501962661743164
